city_name,city_number,country,lat,lon,temp,humidity,wind,clouds
shenjiamen,1795632,CN,29.96,122.3,20.39,64,3.64,94
salym,1493162,RU,60.06,71.48,25.58,44,1.32,0
okhotsk,2122605,RU,59.38,143.3,1.57,94,14.47,100
tokur,2015217,RU,53.13,132.9,5.14,68,2.66,100
olinda,3393536,BR,-8.01,-34.86,25.0,88,1.0,40
ongandjera,3354178,NA,-17.88,15.07,18.77,46,1.91,53
barcelona,3128760,ES,41.39,2.16,16.68,77,3.96,40
yanchukan,1000000, ,0.0,0.0,0.0,0,0.0,0
avera,4231997,US,33.19,-82.53,13.27,76,2.05,1
castelldefels,3125897,ES,41.28,1.97,16.56,77,5.52,40
bambari,240604,CF,5.77,20.68,22.05,93,1.18,62
swan hill,2147756,AU,-35.34,143.55,15.99,55,4.39,7
cape coast,2302357,GH,5.11,-1.25,26.43,86,1.85,9
hearst,5973108,CA,49.68,-83.67,-2.81,91,0.8,5
karaul,1000000, ,0.0,0.0,0.0,0,0.0,0
batticaloa,1250161,LK,7.71,81.69,27.23,81,1.6,98
gizo,2108857,SB,-8.1,156.84,29.03,73,3.06,21
skage,1000000, ,0.0,0.0,0.0,0,0.0,0
agbor,2351979,NG,6.25,6.19,24.1,93,1.5,90
morden,6078447,CA,49.19,-98.1,4.99,30,3.1,1
tambopata,3927942,PE,-12.73,-69.18,25.01,81,0.31,99
mora,2225991,CM,11.05,14.14,27.42,50,1.13,0
ambulu,1621313,ID,-8.35,113.61,28.88,72,3.14,51
omboue,2396853,GA,-1.57,9.26,24.67,92,1.17,100
ayan,2027316,RU,56.45,138.17,0.31,98,8.1,100
malanje,2239862,AO,-9.54,16.34,17.04,84,1.41,22
husavik,2629833,IS,66.04,-17.34,2.0,80,1.5,98
mali,2417886,GN,12.08,-12.3,20.21,71,1.51,24
katobu,1640972,ID,-4.94,122.53,30.87,63,3.04,96
davila,1715335,PH,18.47,120.58,32.0,62,3.6,20
kenora,5991056,CA,49.82,-94.43,7.0,19,2.1,20
bambous virieux,1106677,MU,-20.34,57.76,21.83,69,4.1,20
inderborskiy,1000000, ,0.0,0.0,0.0,0,0.0,0
dubovka,564654,RU,49.06,44.83,15.0,62,4.0,100
faya,110690,SA,18.39,42.45,19.0,52,0.62,0
yarmouth,4956335,US,41.71,-70.23,9.05,27,6.2,1
dungarvan,2964528,IE,52.09,-7.63,6.11,81,1.79,0
fallon,5503914,US,39.47,-118.78,14.74,29,10.3,75
scottsburgh,1000000, ,0.0,0.0,0.0,0,0.0,0
kariba,889215,ZW,-16.52,28.8,16.23,73,0.7,0
bushehr,139817,IR,28.97,50.84,26.0,57,6.2,0
mackay,2159220,AU,-21.15,149.2,24.63,73,7.2,90
bam,141736,IR,29.11,58.36,24.15,19,9.54,0
daru,2098329,PG,-9.08,143.21,28.13,72,6.91,69
tromso,6453316,NO,69.65,18.96,0.0,95,9.3,75
kupino,1501365,RU,54.37,77.3,25.56,32,2.06,0
batouri,2234663,CM,4.43,14.37,21.05,97,0.71,100
coruripe,3465329,BR,-10.13,-36.18,24.85,86,2.83,100
kassala,372753,SD,15.45,36.4,28.02,35,2.79,0
yenangyaung,1285173,MM,20.47,94.88,33.95,35,1.52,100
longlac,1000000, ,0.0,0.0,0.0,0,0.0,0
guican,3681222,CO,6.46,-72.41,9.22,84,0.63,88
mehamn,778707,NO,71.04,27.85,-1.55,89,7.49,2
diamantino,3464724,BR,-14.41,-56.45,23.1,79,1.39,0
magadan,2123628,RU,59.57,150.8,3.5,80,1.45,77
nabire,1634614,ID,-3.37,135.48,30.6,65,1.83,30
rabkavi,1259083,IN,16.47,75.1,33.29,23,1.9,90
businga,217637,CD,3.33,20.88,21.68,96,0.15,97
lafiagi,2332504,NG,8.87,5.42,26.95,73,1.61,56
istisu,586320,AZ,40.95,48.07,12.51,41,1.13,14
pavino,512247,RU,59.11,46.14,12.32,93,4.1,34
ust-kut,2013923,RU,56.79,105.77,7.18,52,5.35,98
farafangana,1065158,MG,-22.82,47.83,22.0,87,4.86,97
kljuc,3198050,BA,44.53,16.77,10.75,83,1.78,100
safwah,1000000, ,0.0,0.0,0.0,0,0.0,0
suure-jaani,588532,EE,58.54,25.47,1.67,85,3.37,91
rorvik,3141310,NO,64.86,11.24,2.69,76,6.27,100
san juan,3837213,AR,-31.54,-68.54,13.74,37,2.25,0
vadso,777073,NO,70.07,29.75,-3.0,86,9.3,0
tsumeb,3352593,NA,-19.23,17.72,19.49,39,1.87,85
bambanglipuro,1650434,ID,-7.95,110.28,29.78,68,6.19,46
ola,2122574,RU,59.58,151.28,4.05,80,1.3,75
puerto madryn,3840092,AR,-42.77,-65.04,8.17,65,7.29,35
new glasgow,6087579,CA,45.58,-62.65,3.4,94,4.84,100
buraydah,107304,SA,26.33,43.98,25.0,29,4.1,0
trairi,3386177,BR,-3.28,-39.27,24.68,88,2.37,0
sun city west,5316205,US,33.66,-112.34,29.83,11,1.34,0
bilma,2446796,NE,18.69,12.92,26.73,14,3.11,0
gushikawa,1863495,JP,26.35,127.87,25.84,57,4.6,75
mayor pablo lagerenza,3867427,PY,-19.93,-60.77,21.04,77,2.27,88
svay rieng,1821993,KH,11.09,105.8,33.95,46,4.06,3
chicama,3698359,PE,-7.84,-79.15,21.53,76,2.66,8
fort nelson,5955902,CA,58.81,-122.7,19.0,22,3.1,75
moorhead,5038108,US,46.87,-96.77,10.17,23,2.6,1
brownfield,5517675,US,33.18,-102.27,17.49,84,2.24,16
oriximina,3393471,BR,-1.77,-55.87,25.15,91,1.23,66
bhinga,1275921,IN,27.72,81.93,32.48,31,2.31,13
eskasem,1000000, ,0.0,0.0,0.0,0,0.0,0
nyurba,2018735,RU,63.28,118.33,3.08,76,3.48,99
katangli,2122783,RU,51.71,143.23,5.19,84,10.88,100
grand forks,5059429,US,47.93,-97.03,7.15,56,2.1,75
los andes,3882434,CL,-32.83,-70.6,9.44,99,0.3,14
juneau,5554072,US,58.3,-134.42,21.0,26,3.6,1
ostrovnoy,556268,RU,68.05,39.51,1.03,84,1.41,85
krasnyy chikoy,2012349,RU,50.36,108.75,16.95,50,6.5,35
gigmoto,1712961,PH,13.78,124.39,29.88,73,3.34,100
lokosovo,1500399,RU,61.13,74.82,22.14,59,0.91,98
igrim,1505965,RU,63.19,64.42,18.34,74,3.46,97
azare,2348595,NG,11.68,10.19,24.68,40,2.86,0
palabuhanratu,1000000, ,0.0,0.0,0.0,0,0.0,0
ambon,1651531,ID,-3.7,128.18,30.2,70,2.6,40
pittsburg,5383465,US,38.03,-121.88,16.02,55,8.2,1
nsanje,924572,MW,-16.92,35.26,15.37,90,0.47,0
mahadday weyne,1000000, ,0.0,0.0,0.0,0,0.0,0
chifeng,2038067,CN,42.27,118.96,25.79,16,6.18,42
deer lake,5937252,CA,49.17,-57.43,5.78,87,2.1,90
